Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_2998_1x6.8mm,1,1.5v Bat,
BZ1,Buzzer_CUI_CPT-9019S-SMT,1,Buzzer,
"C1, C4",0402,2,1u,
"C10, C11, C12, C2, C3, C5, C6, C7, C8, C9",0402,10,100n,
"C13, C14",0402,2,15p,
"C17, C19",0402,2,100nF,
"C18, C21",0402,2,10uF,
C20,0402,1,4.7uF,
D1,0402,1,LED,
J1,Molex_CLIK-Mate_502585-0470_1x04-1MP_P1.50mm_Horizontal,1,Conn_01x04,
L1,1008,1,4.7uH,
"R1, R2",0402,2,27.4,
R3,0402,1,220,
"R4, R5",0402,2,1k,
"R6, R7",0402,2,10k,
R8,0402,1,976k,
R9,0402,1,562k,
SW1,SW_SPST_PTS647_Sx38,1,SW_Push,
TP1,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,1,BOOT,
TP2,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,BOOT,
TP3,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,3v3,
TP4,TestPoint_Pad_D1.0mm,1,SDA,
TP5,TestPoint_Pad_D1.0mm,1,SCL,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U4,LGA-12_2x2mm_P0.5mm,1,LIS2HH12,
U5,DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm,1,MCP1640x-xMC,
Y1,ABM8,1,Crystal_ABM8,
