Designator,Mid X,Mid Y,Rotation,Layer
BT1,136.96,-106.02,180.0,bottom
BZ1,135.66,-105.66,270.0,top
C1,143.710589,-93.880589,135.0,top
C10,141.04,-85.19,0.0,top
C11,141.0,-95.47,315.0,top
C12,141.29,-80.02,270.0,bottom
C13,135.26,-85.57,180.0,top
C14,133.09,-86.03,270.0,top
C17,134.5,-97.66,90.0,top
C18,132.47,-97.65,90.0,top
C19,133.49,-97.65,90.0,top
C2,145.09,-88.18,225.0,top
C20,144.05,-100.67,180.0,bottom
C21,137.91,-97.14,0.0,top
C3,132.7,-91.6,0.0,top
C4,143.000589,-94.610589,135.0,top
C5,145.169411,-89.530589,45.0,top
C6,132.71,-90.56,180.0,top
C7,142.270589,-95.310589,315.0,top
C8,137.08,-96.14,0.0,top
C9,137.73,-85.5,0.0,top
D1,131.85,-82.55,90.0,top
J1,136.415,-94.89,90.0,bottom
L1,144.43,-103.325,270.0,bottom
R1,144.599376,-91.529376,315.0,top
R2,143.759376,-92.289376,315.0,top
R3,131.85,-79.83,270.0,top
R4,142.33,-80.76,270.0,bottom
R5,133.09,-87.97,270.0,top
R6,141.530001,-105.62,0.0,top
R7,132.44,-93.11,45.0,top
R8,137.24,-99.86,0.0,top
R9,142.38,-97.27,90.0,bottom
SW1,143.32,-101.375,90.0,top
U1,138.4,-90.2375,0.0,top
U2,140.2525,-81.715,270.0,top
U4,133.2675,-95.36,270.0,top
U5,140.9425,-99.6675,270.0,bottom
Y1,133.965,-82.96,90.0,top
